Vftable,Methods,Flags,Type,Hierarchy
40D00FEC,16,,Client::System::Memory::Regular::MemorySpace,Client::System::Memory::Regular::MemorySpace: Client::System::Memory::IMemorySpace;
40D01034,16,,Client::System::Memory::Regular::FixedSpace,Client::System::Memory::Regular::FixedSpace: Client::System::Memory::IMemorySpace;
40D0107C,15,,Client::System::Memory::Regular::RegularAllocator,Client::System::Memory::Regular::RegularAllocator: Client::System::Memory::IMemoryModule;
40D010BC,15,,Client::System::Memory::Regular::UIAllocator,"Client::System::Memory::Regular::UIAllocator: Client::System::Memory::Regular::RegularAllocator, Client::System::Memory::IMemoryModule;"
40D010FC,15,,Client::System::Memory::Regular::FileAllocator,"Client::System::Memory::Regular::FileAllocator: Client::System::Memory::Regular::RegularAllocator, Client::System::Memory::IMemoryModule;"
40D0334C,1,,Client::System::Crypt::Crc32,Client::System::Crypt::Crc32:
40D03354,1,,Client::System::Crypt::CryptKey,Client::System::Crypt::CryptKey:
40D0335C,2,,Client::System::Crypt::ImportUtil,Client::System::Crypt::ImportUtil: 
40D03368,1,,Client::System::Crypt::PublicKey,Client::System::Crypt::PublicKey: Client::System::Crypt::CryptKey;
40D03370,1,,Client::System::Crypt::SessionKey,Client::System::Crypt::SessionKey: Client::System::Crypt::CryptKey;
40D0338C,2,,Client::System::Crypt::Cert,Client::System::Crypt::Cert: Client::System::Crypt::ImportUtil;
40D03398,2,M,Client::System::Crypt::PrivateKey,Client::System::Crypt::ImportUtil: 
40D033A4,1,M,Client::System::Crypt::PrivateKey,"Client::System::Crypt::PrivateKey: Client::System::Crypt::CryptKey, Client::System::Crypt::ImportUtil;"
40D06854,26,,Client::System::Streaming::IStreamingCtrl,Client::System::Streaming::IStreamingCtrl: 
40D068C0,3,,Client::System::Streaming::StreamingPlayer,Client::System::Streaming::StreamingPlayer: Client::System::Framework::Task;
40D068D0,6,,Client::System::Streaming::StreamingThreadWin,"Client::System::Streaming::StreamingThreadWin: Client::System::Threading::Thread, Client::System::Common::NonCopyable;"
40D068F8,1,,Client::System::Streaming::StreamingWorkWin,Client::System::Streaming::StreamingWorkWin: 
40D06904,5,M,Client::System::Streaming::TextureRenderer,Client::Graphics::Kernel::Notifier: 
40D0691C,5,M,Client::System::Streaming::TextureRenderer,"struct IQualityControl: struct IUnknown, Client::Graphics::Kernel::Notifier;"
40D06934,9,M,Client::System::Streaming::TextureRenderer,"struct IQualProp: struct IUnknown, struct IQualityControl, struct IUnknown, Client::Graphics::Kernel::Notifier;"
40D0695C,5,M,Client::System::Streaming::TextureRenderer,"struct IAMovieSetup: struct IUnknown, struct IQualProp, struct IUnknown, struct IQualityControl, struct IUnknown, Client::Graphics::Kernel::Notifier;"
40D06974,15,M,Client::System::Streaming::TextureRenderer,"struct IBaseFilter: struct IMediaFilter, struct IPersist, struct IUnknown, struct IAMovieSetup, struct IUnknown, struct IQualProp, struct IUnknown, struct IQualityControl, struct IUnknown, Client::Graphics::Kernel::Notifier;"
40D069B4,49,M,Client::System::Streaming::TextureRenderer,"Client::System::Streaming::TextureRenderer: CBaseVideoRenderer, CBaseRenderer, CBaseFilter, CUnknown, struct INonDelegatingUnknown, CBaseObject, struct IBaseFilter, struct IMediaFilter, struct IPersist, struct IUnknown, struct IAMovieSetup, struct IUnknown, struct IQualProp, struct IUnknown, struct IQualityControl, struct IUnknown, Client::Graphics::Kernel::Notifier;"
40D06A84,5,M,Client::System::Streaming::StreamingCtrl,Client::Graphics::Kernel::Notifier: 
40D06A9C,26,M,Client::System::Streaming::StreamingCtrl,"Client::System::Streaming::StreamingCtrl: Client::System::Streaming::IStreamingCtrl, Client::Graphics::Kernel::Notifier;"
40D0AAB0,7,,Common::Configuration::ConfigFileOperationInterface::ConfigFileResourceInterface,Common::Configuration::ConfigFileOperationInterface::ConfigFileResourceInterface: 
40D0AAD0,5,,Common::Configuration::ConfigFileOperationInterface,Common::Configuration::ConfigFileOperationInterface: 
40D0AAE8,7,,Client::System::Configuration::ConfigFileResource,Client::System::Configuration::ConfigFileResource: Common::Configuration::ConfigFileOperationInterface::ConfigFileResourceInterface;
40D0AB08,5,,Client::System::Configuration::ConfigFileOperationInterface,Client::System::Configuration::ConfigFileOperationInterface: Common::Configuration::ConfigFileOperationInterface;
40D0AB34,5,,Client::System::Configuration::ConfigFileOperation,"Client::System::Configuration::ConfigFileOperation: Client::System::Configuration::ConfigFileOperationInterface, Common::Configuration::ConfigFileOperationInterface;"
40D0AB5C,2,,Common::Configuration::Utf8StringParser,Common::Configuration::Utf8StringParser: 
40D0AB68,2,,Common::Configuration::ArrayParser,Common::Configuration::ArrayParser: Common::Configuration::Utf8StringParser;
40D0AB74,2,,Common::Configuration::CommandLineParser,Common::Configuration::CommandLineParser: Common::Configuration::Utf8StringParser;
40D0AB80,4,,Common::Configuration::ConfigBase,Common::Configuration::ConfigBase: Client::System::Common::NonCopyable;
40D0AB94,4,,Common::Configuration::UIConfig,"Common::Configuration::UIConfig: Common::Configuration::ConfigBase, Client::System::Common::NonCopyable;"
40D0ABA8,4,,Common::Configuration::UIControlConfig,"Common::Configuration::UIControlConfig: Common::Configuration::ConfigBase, Client::System::Common::NonCopyable;"
40D0ABBC,4,,Common::Configuration::SystemConfig,"Common::Configuration::SystemConfig: Common::Configuration::ConfigBase, Client::System::Common::NonCopyable;"
40D0ABD0,4,,Common::Configuration::DevConfig,"Common::Configuration::DevConfig: Common::Configuration::ConfigBase, Client::System::Common::NonCopyable;"
40D0ABE4,15,,Client::System::Input::CursorInterface,Client::System::Input::CursorInterface: 
40D0AC24,24,,Client::System::Input::Cursor,Client::System::Input::Cursor: Client::System::Input::CursorInterface;
40D0B860,5,,Component::Excel::ExcelModuleInterface,Component::Excel::ExcelModuleInterface: 
40D0B878,3,,Client::System::Framework::TaskManager::RootTask,Client::System::Framework::TaskManager::RootTask: Client::System::Framework::Task;
40D0B894,1,,Common::Game::Time::GameTime,Common::Game::Time::GameTime: 
40D0B8A0,2,,Client::System::Timer::ClientTime,Client::System::Timer::ClientTime: Common::Game::Time::GameTime;
40D0B8AC,1,,Client::System::Framework::TaskManager,Client::System::Framework::TaskManager: 
40D0B8B8,5,,Client::System::Framework::Framework,Client::System::Framework::Framework: 
40D0B8D4,3,,Client::System::Framework::Task,Client::System::Framework::Task: 
40D0C910,2,,Client::System::Error::`anonymous namespace'::ErrorDialog,Client::System::Error::`anonymous namespace'::ErrorDialog: 
40D0CC40,11,,"`public: static char * __cdecl Client::System::Debug::StackTrace::Trace(char *,unsigned int,Client::System::Debug::StackTrace::Context *,unsigned int,char const *)'::`2'::Callback","`public: static char * __cdecl Client::System::Debug::StackTrace::Trace(char *,unsigned int,Client::System::Debug::StackTrace::Context *,unsigned int,char const *)'::`2'::Callback: Client::System::Debug::StackTrace::TraceCallbackInterface;"
40D13548,2,,Component::GUI::AtkModuleEvent,Component::GUI::AtkModuleEvent: 
40D13554,2,,Component::GUI::AtkModuleInterface::AtkEventInterface,Component::GUI::AtkModuleInterface::AtkEventInterface: 
40D13560,6,,Component::GUI::AtkModuleInterface::AtkHistoryInterface,Component::GUI::AtkModuleInterface::AtkHistoryInterface: 
40D1357C,2,,Component::Text::TextChecker::ExecNonMacroFunc,Component::Text::TextChecker::ExecNonMacroFunc: 
40D13588,2,,Client::System::Input::InputData::InputCodeModifiedInterface,Client::System::Input::InputData::InputCodeModifiedInterface: 
40D13594,3,,Component::GUI::AtkEventListener,Component::GUI::AtkEventListener: 
40D135A4,3,,stdext::exception,stdext::exception: 
40D135C8,3,,stdext::bad_alloc,stdext::bad_alloc: stdext::exception;
40D135D8,1,,Component::GUI::AtkUnitList,Component::GUI::AtkUnitList: 
40D135E0,1,,Client::UI::RaptureAtkColorDataManager,Client::UI::RaptureAtkColorDataManager: 
40D135E8,1,,Client::Game::Control::EmoteController::PlayEmoteOption,Client::Game::Control::EmoteController::PlayEmoteOption: 
40D135F0,7,,Client::UI::Info::InfoProxyInterface,Client::UI::Info::InfoProxyInterface: 
40D13610,8,,Client::UI::Info::InfoProxyPageInterface,Client::UI::Info::InfoProxyPageInterface: Client::UI::Info::InfoProxyInterface;
40D13634,1,,Client::UI::Info::InfoProxyInvitedInterface,Client::UI::Info::InfoProxyInvitedInterface: 
40D1363C,2,,Component::Excel::ExcelLanguageEvent,Component::Excel::ExcelLanguageEvent: 
40D13648,5,,Client::UI::Misc::UserFileManager,Client::UI::Misc::UserFileManager: Client::System::Resource::ResourceEventListener;
40D13664,2,,Client::UI::Agent::AgentContext::AgentContextUpdateChecker,Client::UI::Agent::AgentContext::AgentContextUpdateChecker: 
40D13670,4,,Client::UI::RaptureAtkModule::ItemCache,struct Client::UI::RaptureAtkModule::ItemCache: 
40D13684,4,,Client::UI::RaptureAtkModule::InventoryCache,struct Client::UI::RaptureAtkModule::InventoryCache: struct Client::UI::RaptureAtkModule::ItemCache;
40D13698,4,,Client::UI::RaptureAtkModule::CrystalCache,struct Client::UI::RaptureAtkModule::CrystalCache: struct Client::UI::RaptureAtkModule::ItemCache;
40D136AC,4,,Client::UI::UI3DModule::MapInfo,struct Client::UI::UI3DModule::MapInfo: 
40D136C0,2,,Component::Shell::ShellCommandInterface,Component::Shell::ShellCommandInterface: 
40D136CC,2,,Component::Shell::DebugCommandInterface,Component::Shell::DebugCommandInterface: 
40D136DC,98,,Client::UI::UIModuleInterface,Client::UI::UIModuleInterface: 
40D13884,1,,Client::UI::UI3DModule,Client::UI::UI3DModule: 
40D1388C,1,,Client::UI::UIClipboard,Client::UI::UIClipboard: 
40D13894,3,,Client::System::Crypt::CryptInterface,Client::System::Crypt::CryptInterface: 
40D138A4,1,,Client::UI::Info::InfoEvent,Client::UI::Info::InfoEvent: 
40D138AC,2,,Client::UI::UIInputModule,Client::UI::UIInputModule: Client::UI::Agent::AgentContext::AgentContextUpdateChecker;
40D138DC,2,,Client::UI::ExdSheetWaiter,Client::UI::ExdSheetWaiter: Common::Component::Excel::ExcelSheetWaiter;
40D138FC,67,,Client::UI::AddonLicenseViewer,"Client::UI::AddonLicenseViewer: Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D13A0C,2,,Common::Configuration::ConfigBase::ChangeEventInterface,Common::Configuration::ConfigBase::ChangeEventInterface: 
40D13A28,1,,Client::UI::Info::InfoModule,Client::UI::Info::InfoModule: 
40D13A30,8,,Client::UI::Info::InfoProxyCatalogSearch,"Client::UI::Info::InfoProxyCatalogSearch: Client::UI::Info::InfoProxyPageInterface, Client::UI::Info::InfoProxyInterface;"
40D13A54,14,,Client::UI::Info::InfoProxyCommonlist,"Client::UI::Info::InfoProxyCommonlist: Client::UI::Info::InfoProxyPageInterface, Client::UI::Info::InfoProxyInterface;"
40D13A90,7,,Client::UI::Info::InfoProxyDetail,Client::UI::Info::InfoProxyDetail: Client::UI::Info::InfoProxyInterface;
40D13AB0,1,M,Client::UI::Info::InfoProxyFreeCompanyCreate,Client::UI::Info::InfoProxyInvitedInterface: 
40D13AB8,7,M,Client::UI::Info::InfoProxyFreeCompanyCreate,"Client::UI::Info::InfoProxyFreeCompanyCreate: Client::UI::Info::InfoProxyInterface, Client::UI::Info::InfoProxyInvitedInterface;"
40D13AD8,14,,Client::UI::Info::InfoProxyFreeCompanyMember,"Client::UI::Info::InfoProxyFreeCompanyMember: Client::UI::Info::InfoProxyCommonlist, Client::UI::Info::InfoProxyPageInterface, Client::UI::Info::InfoProxyInterface;"
40D13B14,1,M,Client::UI::Info::InfoProxyFriendlist,Client::UI::Info::InfoProxyInvitedInterface: 
40D13B1C,14,M,Client::UI::Info::InfoProxyFriendlist,"Client::UI::Info::InfoProxyFriendlist: Client::UI::Info::InfoProxyCommonlist, Client::UI::Info::InfoProxyPageInterface, Client::UI::Info::InfoProxyInterface, Client::UI::Info::InfoProxyInvitedInterface;"
40D13B58,10,,Client::UI::Info::InfoProxyInvitedlist,Client::UI::Info::InfoProxyInvitedlist: Client::UI::Info::InfoProxyInterface;
40D13B84,8,,Client::UI::Info::InfoProxyItemSearch,"Client::UI::Info::InfoProxyItemSearch: Client::UI::Info::InfoProxyPageInterface, Client::UI::Info::InfoProxyInterface;"
40D13BA8,8,,Client::UI::Info::InfoProxyLetter,"Client::UI::Info::InfoProxyLetter: Client::UI::Info::InfoProxyPageInterface, Client::UI::Info::InfoProxyInterface;"
40D13BCC,1,M,Client::UI::Info::InfoProxyLinkshell,Client::UI::Info::InfoProxyInvitedInterface: 
40D13BD4,8,M,Client::UI::Info::InfoProxyLinkshell,"Client::UI::Info::InfoProxyLinkshell: Client::UI::Info::InfoProxyInterface, Client::UI::Info::InfoProxyInvitedInterface;"
40D13BF8,14,,Client::UI::Info::InfoProxyLinkshellMember,"Client::UI::Info::InfoProxyLinkshellMember: Client::UI::Info::InfoProxyCommonlist, Client::UI::Info::InfoProxyPageInterface, Client::UI::Info::InfoProxyInterface;"
40D13C34,1,M,Client::UI::Info::InfoProxyPartyInvite,Client::UI::Info::InfoProxyInvitedInterface: 
40D13C3C,10,M,Client::UI::Info::InfoProxyPartyInvite,"Client::UI::Info::InfoProxyPartyInvite: Client::UI::Info::InfoProxyInvitedlist, Client::UI::Info::InfoProxyInterface, Client::UI::Info::InfoProxyInvitedInterface;"
40D13C68,7,,Client::UI::Info::InfoProxyChat,Client::UI::Info::InfoProxyChat: Client::UI::Info::InfoProxyInterface;
40D13C88,7,,Client::UI::Info::InfoProxyPartyRecruit,Client::UI::Info::InfoProxyPartyRecruit: Client::UI::Info::InfoProxyInterface;
40D13CA8,2,,Client::UI::Misc::PronounModule,Client::UI::Misc::PronounModule: Component::Text::TextChecker::ExecNonMacroFunc;
40D13CC4,2,,??** MAXSTR overflow!,"`protected: virtual int __thiscall Client::UI::Misc::RaptureTextModule::CodeCaps(unsigned char const *,int,std::deque<Client::System::Data::Variant<int,Client::System::Data::VariantPtr<Client::System::String::Utf8String>,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null>,Client::System::Memory::BlockMemoryAllocator<Client::System::Data::Variant<int,Client::System::Data::VariantPtr<Client::System::String::Utf8String>,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::"
40D13CD0,2,,??** MAXSTR overflow!,"`protected: virtual int __thiscall Client::UI::Misc::RaptureTextModule::CodeCapsHead(unsigned char const *,int,std::deque<Client::System::Data::Variant<int,Client::System::Data::VariantPtr<Client::System::String::Utf8String>,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null>,Client::System::Memory::BlockMemoryAllocator<Client::System::Data::Variant<int,Client::System::Data::VariantPtr<Client::System::String::Utf8String>,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::Syst"
40D13DA4,2,,??** MAXSTR overflow!,"`protected: virtual int __thiscall Client::UI::Misc::RaptureTextModule::CodeCapsHeadAll(unsigned char const *,int,std::deque<Client::System::Data::Variant<int,Client::System::Data::VariantPtr<Client::System::String::Utf8String>,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null>,Client::System::Memory::BlockMemoryAllocator<Client::System::Data::Variant<int,Client::System::Data::VariantPtr<Client::System::String::Utf8String>,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::S"
40D13DB0,2,,??** MAXSTR overflow!,"`protected: virtual int __thiscall Client::UI::Misc::RaptureTextModule::CodeLower(unsigned char const *,int,std::deque<Client::System::Data::Variant<int,Client::System::Data::VariantPtr<Client::System::String::Utf8String>,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null>,Client::System::Memory::BlockMemoryAllocator<Client::System::Data::Variant<int,Client::System::Data::VariantPtr<Client::System::String::Utf8String>,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System::Data::Type::Null,Client::System:"
40D13DBC,13,,Client::UI::Misc::UserFileManager::UserFileEvent,Client::UI::Misc::UserFileManager::UserFileEvent: 
40D13DF4,5,,Client::UI::Misc::CharaView,Client::UI::Misc::CharaView: 
40D13E3C,2,M,Client::UI::Shell::RaptureShellModule,Client::UI::Shell::RaptureShellCommandInterface: Component::Shell::ShellCommandInterface;
40D13E48,3,M,Client::UI::Shell::RaptureShellModule,"Client::UI::Shell::RaptureShellModule: Component::Shell::ShellCommandModule, Client::System::Common::NonCopyable, Client::UI::Shell::RaptureShellCommandInterface, Component::Shell::ShellCommandInterface;"
40D13E88,1,,"Client::System::Data::ChunkRead<unsigned char,unsigned short>","Client::System::Data::ChunkRead<unsigned char,unsigned short>: "
40D13E90,1,,"Client::System::Data::ChunkRead<unsigned char,unsigned char>","Client::System::Data::ChunkRead<unsigned char,unsigned char>: "
40D13E9C,67,,Client::UI::AddonMovieSubtitleOpening,"Client::UI::AddonMovieSubtitleOpening: Client::UI::AddonMovieSubtitle, Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D13FAC,67,,Client::UI::AddonMovieSubtitleVoyage,"Client::UI::AddonMovieSubtitleVoyage: Client::UI::AddonMovieSubtitle, Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D140BC,70,,Client::UI::AddonCharaMakeFeatureColorL,"Client::UI::AddonCharaMakeFeatureColorL: Client::UI::AddonCharaMakeFeatureColor, Client::UI::AddonCharaMakeFeatureOption, Component::GUI::AtkUnitBase, Component::GUI::AtkEventListener;"
40D141D8,14,,Component::GUI::AtkInputData,Component::GUI::AtkInputData: Client::System::Input::InputData;
40D14214,42,,Component::GUI::AtkUnitManager,Component::GUI::AtkUnitManager: Component::GUI::AtkEventListener;
40D142DC,4,,Client::UI::UI3DModule::ObjectInfo,struct Client::UI::UI3DModule::ObjectInfo: struct Client::UI::UI3DModule::MapInfo;
40D142F0,4,,Client::UI::UI3DModule::MemberInfo,struct Client::UI::UI3DModule::MemberInfo: struct Client::UI::UI3DModule::MapInfo;
40D14304,13,M,Client::UI::UIInputData,Client::UI::Misc::UserFileManager::UserFileEvent: 
40D1433C,15,M,Client::UI::UIInputData,"Client::UI::UIInputData: Component::GUI::AtkInputData, Client::System::Input::InputData, Client::UI::Misc::UserFileManager::UserFileEvent;"
40D1437C,3,,Client::System::Crypt::SimpleString,Client::System::Crypt::SimpleString: Client::System::Crypt::CryptInterface;
40D143CC,1,M,Client::UI::Info::InfoProxyFreeCompanyInvite,Client::UI::Info::InfoProxyInvitedInterface: 
40D143D4,10,M,Client::UI::Info::InfoProxyFreeCompanyInvite,"Client::UI::Info::InfoProxyFreeCompanyInvite: Client::UI::Info::InfoProxyInvitedlist, Client::UI::Info::InfoProxyInterface, Client::UI::Info::InfoProxyInvitedInterface;"
40D14400,13,,Client::UI::Misc::AcquaintanceModule,Client::UI::Misc::AcquaintanceModule: Client::UI::Misc::UserFileManager::UserFileEvent;
40D14438,13,,Client::UI::Misc::CharaConfig,Client::UI::Misc::CharaConfig: Client::UI::Misc::UserFileManager::UserFileEvent;
40D14470,2,M,Client::UI::Misc::RaptureHotbarModule,Client::System::Input::InputData::InputCodeModifiedInterface: 
40D1447C,13,M,Client::UI::Misc::RaptureHotbarModule,"Client::UI::Misc::RaptureHotbarModule: Client::UI::Misc::UserFileManager::UserFileEvent, Client::System::Input::InputData::InputCodeModifiedInterface;"
40D144B4,13,,Client::UI::Misc::RaptureGearsetModule,Client::UI::Misc::RaptureGearsetModule: Client::UI::Misc::UserFileManager::UserFileEvent;
40D144EC,13,,Client::UI::Misc::FlagStatusModule,Client::UI::Misc::FlagStatusModule: Client::UI::Misc::UserFileManager::UserFileEvent;
40D14524,14,,Client::UI::Misc::SavePackModuleBase,Client::UI::Misc::SavePackModuleBase: Client::UI::Misc::UserFileManager::UserFileEvent;
40D14560,14,,Client::UI::Misc::UiSavePackModule,"Client::UI::Misc::UiSavePackModule: Client::UI::Misc::SavePackModuleBase, Client::UI::Misc::UserFileManager::UserFileEvent;"
40D1459C,13,,Client::UI::Misc::LetterDataModule,Client::UI::Misc::LetterDataModule: Client::UI::Misc::UserFileManager::UserFileEvent;
40D145D4,2,,Client::UI::Shell::RaptureShellCommandInterface,Client::UI::Shell::RaptureShellCommandInterface: Component::Shell::ShellCommandInterface;
40D145E0,2,M,Client::UI::Shell::ShellCommandFriendlist,Component::GUI::AtkModuleInterface::AtkEventInterface: 
40D145EC,2,M,Client::UI::Shell::ShellCommandFriendlist,"Client::UI::Shell::ShellCommandFriendlist: Client::UI::Shell::RaptureShellCommandInterface, Component::Shell::ShellCommandInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D145F8,2,M,Client::UI::Shell::ShellCommandBlacklist,Component::GUI::AtkModuleInterface::AtkEventInterface: 
40D14604,2,M,Client::UI::Shell::ShellCommandBlacklist,"Client::UI::Shell::ShellCommandBlacklist: Client::UI::Shell::RaptureShellCommandInterface, Component::Shell::ShellCommandInterface, Component::GUI::AtkModuleInterface::AtkEventInterface;"
40D14610,2,,Client::UI::Shell::ShellCommandAgent,"Client::UI::Shell::ShellCommandAgent: Client::UI::Shell::RaptureShellCommandInterface, Component::Shell::ShellCommandInterface;"
40D1461C,2,,Client::UI::Shell::ShellCommandReturn,"Client::UI::Shell::ShellCommandReturn: Client::UI::Shell::RaptureShellCommandInterface, Component::Shell::ShellCommandInterface;"
40D14628,2,,Client::UI::Shell::ShellCommandCommand,"Client::UI::Shell::ShellCommandCommand: Client::UI::Shell::RaptureShellCommandInterface, Component::Shell::ShellCommandInterface;"
40D14634,2,,Client::UI::Shell::ShellCommandConfigToggle,"Client::UI::Shell::ShellCommandConfigToggle: Client::UI::Shell::RaptureShellCommandInterface, Component::Shell::ShellCommandInterface;"
40D14640,2,,Client::UI::Shell::ShellCommandAction,"Client::UI::Shell::ShellCommandAction: Client::UI::Shell::RaptureShellCommandInterface, Component::Shell::ShellCommandInterface;"
40D1464C,2,,Client::UI::Shell::ShellCommandBattleMode,"Client::UI::Shell::ShellCommandBattleMode: Client::UI::Shell::RaptureShellCommandInterface, Component::Shell::ShellCommandInterface;"
40D14658,2,,Client::UI::Shell::ShellCommandGear,"Client::UI::Shell::ShellCommandGear: Client::UI::Shell::RaptureShellCommandInterface, Component::Shell::ShellCommandInterface;"
40D14664,2,,Client::UI::Shell::ShellCommandAssist,"Client::UI::Shell::ShellCommandAssist: Client::UI::Shell::RaptureShellCommandInterface, Component::Shell::ShellCommandInterface;"
40D14670,2,,Client::UI::Shell::ShellCommandFollow,"Client::UI::Shell::ShellCommandFollow: Client::UI::Shell::RaptureShellCommandInterface, Component::Shell::ShellCommandInterface;"
40D1467C,2,,Client::UI::Shell::ShellCommandBattleTarget,"Client::UI::Shell::ShellCommandBattleTarget: Client::UI::Shell::RaptureShellCommandInterface, Component::Shell::ShellCommandInterface;"
40D14688,2,,Client::UI::Shell::ShellCommandTarget,"Client::UI::Shell::ShellCommandTarget: Client::UI::Shell::RaptureShellCommandInterface, Component::Shell::ShellCommandInterface;"
40D14694,2,,Client::UI::Shell::ShellCommandTargetPc,"Client::UI::Shell::ShellCommandTargetPc: Client::UI::Shell::RaptureShellCommandInterface, Component::Shell::ShellCommandInterface;"
40D146A0,2,,Client::UI::Shell::ShellCommandTargetNpc,"Client::UI::Shell::ShellCommandTargetNpc: Client::UI::Shell::RaptureShellCommandInterface, Component::Shell::ShellCommandInterface;"
40D146AC,2,,Client::UI::Shell::ShellCommandTargetEnemy,"Client::UI::Shell::ShellCommandTargetEnemy: Client::UI::Shell::RaptureShellCommandInterface, Component::Shell::ShellCommandInterface;"
40D146B8,2,,Client::UI::Shell::ShellCommandRecast,"Client::UI::Shell::ShellCommandRecast: Client::UI::Shell::RaptureShellCommandInterface, Component::Shell::ShellCommandInterface;"
